BOROUGH,MONTH,REFUSE_TONS_COLLECTED,MGP_TONS_COLLECTED,PAPER_TONS_COLLECTED,RECYCLABLE_TONS_COLLECTED,TOTAL_WASTE_TONS,CAPTURE_RATE
Bronx,2004 / 04,37347.2,2808.1,2903.0,5711.1,43058.3,0.1268450560351313
Bronx,2004 / 05,37956.0,2913.4,2777.7999999999997,5691.2,43647.2,0.12408405502075055
Bronx,2004 / 06,41559.9,3087.7999999999997,2950.2,6038.0,47597.899999999994,0.12095670152851533
Bronx,2004 / 07,40014.9,3228.0,2948.0,6176.0,46190.9,0.12755570916881953
Bronx,2004 / 08,38822.8,2991.4,2641.1,5632.5,44455.3,0.12027457334468422
Bronx,2004 / 09,38228.4,3102.7,3038.0,6140.7,44369.100000000006,0.1325935877942669
Bronx,2004 / 10,35751.5,2797.7,2816.5,5614.2,41365.7,0.12967777484470744
Bronx,2004 / 11,38132.0,2594.6,2762.4,5357.0,43489.0,0.11745378406244944
Bronx,2004 / 12,37411.9,2964.9,3493.9,6458.8,43870.7,0.1429221032991308
Bronx,2005 / 01,34286.3,2470.4,2608.2000000000003,5078.599999999999,39364.9,0.12372967153573737
Bronx,2005 / 02,30997.4,2498.2,2500.3,4998.5,35995.9,0.13484835839895556
Bronx,2005 / 03,36534.7,2804.5,2916.2,5720.7,42255.4,0.13085899732803027
Bronx,2005 / 04,37445.0,2838.2000000000003,2827.8,5666.0,43111.0,0.12514591931761493
Bronx,2005 / 05,36844.3,2660.8,2621.9,5282.7,42127.0,0.11915683837104575
Bronx,2005 / 06,40043.8,3125.7,3012.7,6138.400000000001,46182.2,0.12682482298078926
Bronx,2005 / 07,38235.9,2934.2,2666.6,5600.8,43836.7,0.1218472571042273
Bronx,2005 / 08,39645.1,3044.6,2728.8,5773.4,45418.5,0.12132954575157266
Bronx,2005 / 09,36581.9,2871.5,2716.7,5588.2,42170.1,0.126920140863776
Bronx,2005 / 10,37979.0,2682.8,2917.0,5599.8,43578.8,0.12240953766860203
Bronx,2005 / 11,37472.3,2557.5,2709.6,5267.099999999999,42739.4,0.11764448261778643
Bronx,2005 / 12,36708.1,2788.4,3384.1,6172.5,42880.6,0.13901302791825054
Bronx,2006 / 01,35740.7,2749.1,2852.2,5601.3,41342.0,0.12978046018106737
Bronx,2006 / 02,30865.0,2202.1,2224.4,4426.5,35291.5,0.1221329407966984
Bronx,2006 / 03,35296.4,2746.8,2741.6,5488.4,40784.8,0.13129462415983179
Bronx,2006 / 04,34864.8,2565.4,2600.5,5165.900000000001,40030.7,0.12352803199087142
Bronx,2006 / 05,39478.0,2669.6,2779.3,5448.9,44926.9,0.11659384496035453
Bronx,2006 / 06,39068.5,2925.9,3155.9,6081.8,45150.3,0.12882810415500465
Bronx,2006 / 07,38652.1,2808.2,2695.1,5503.3,44155.4,0.118924905707904
Bronx,2006 / 08,38235.8,2892.3,2780.1,5672.4,43908.200000000004,0.12413924632316077
Bronx,2006 / 09,37454.4,2637.6,2904.1,5541.7,42996.1,0.12268864591961248
Bronx,2006 / 10,37062.9,2519.1,2787.4,5306.5,42369.4,0.11980227664844012
Bronx,2006 / 11,37408.4,2565.8,3065.7000000000003,5631.5,43039.9,0.12627611802421781
Bronx,2006 / 12,35562.6,2421.0,3068.2,5489.2,41051.8,0.12978786293381436
Bronx,2007 / 01,36298.0,2654.7,2814.3,5469.0,41767.0,0.12690100208893243
Bronx,2007 / 02,30013.4,2145.5,2210.7999999999997,4356.3,34369.7,0.12427336806137318
Bronx,2007 / 03,35449.1,2539.5,2872.6,5412.1,40861.2,0.12895145387983412
Bronx,2007 / 04,35513.4,2416.4,2693.8,5110.2,40623.6,0.12101430980379785
Bronx,2007 / 05,39181.9,2619.1,2815.5,5434.6,44616.5,0.11707703903780046
Bronx,2007 / 06,38073.7,2771.5,2906.5,5678.0,43751.7,0.12390754274119366
Bronx,2007 / 07,38795.2,2646.2,2856.4,5502.6,44297.8,0.11898937237776615
Bronx,2007 / 08,38390.3,2677.3,2868.8,5546.1,43936.4,0.12189559811599182
Bronx,2007 / 09,34838.9,2348.2,2538.0,4886.2,39725.1,0.11783800097001342
Bronx,2007 / 10,37535.5,2487.7999999999997,2756.6,5244.4,42779.9,0.11799416223200898
Bronx,2007 / 11,35821.8,2435.2999999999997,2917.1,5352.4,41174.2,0.12566278712876747
Bronx,2007 / 12,37574.1,2280.8,2975.1,5255.9,42830.0,0.11866975967278985
Bronx,2008 / 01,39092.4,2700.6,2908.0,5608.6,44701.0,0.12242401182639122
Bronx,2008 / 02,35443.5,2240.8,2528.2000000000003,4769.0,40212.5,0.11686881470503657
Bronx,2008 / 03,36075.3,2375.0,2670.5,5045.5,41120.8,0.11958236392554912
Bronx,2008 / 04,37240.1,2434.7,2661.2999999999997,5096.0,42336.1,0.11693236770641668
Bronx,2008 / 05,38377.1,2545.2,2764.6,5309.8,43686.9,0.117988952240285
Bronx,2008 / 06,37074.0,2602.3,2751.4,5353.7,42427.7,0.12171423070321093
Bronx,2008 / 07,38958.9,2762.7,2853.2,5615.9,44574.8,0.12242103258104703
Bronx,2008 / 08,35932.7,2531.2,2666.0,5197.2,41129.9,0.122569454838319
Bronx,2008 / 09,37204.6,2465.6,2646.4,5112.0,42316.6,0.11718121079385418
Bronx,2008 / 10,37487.2,2577.5,2654.4,5231.9,42719.1,0.11994388404455754
Bronx,2008 / 11,35818.1,2269.4,2388.9,4658.3,40476.4,0.11093264944184472
Bronx,2008 / 12,40375.8,2678.4,3047.9,5726.3,46102.1,0.12122810546183758
Bronx,2009 / 01,34884.3,2748.0,2685.8,5433.8,40318.1,0.13228447841717272
Bronx,2009 / 02,31329.9,2213.2,2178.1,4391.3,35721.2,0.12147313302150826
Bronx,2009 / 03,35076.0,2370.6,2348.4,4719.0,39795.0,0.11632964781527351
Bronx,2009 / 04,35616.0,2607.0,2572.0,5179.0,40795.0,0.12423136049511967
Bronx,2009 / 05,36845.6,2543.8,2482.2,5026.0,41871.6,0.11669884637729931
Bronx,2009 / 06,39910.4,2761.1,2777.0,5538.1,45448.5,0.11792081804694272
Bronx,2009 / 07,38690.8,2880.1,2764.9,5645.0,44335.8,0.12463095301488315
Bronx,2009 / 08,37466.4,2674.2,2534.9,5209.099999999999,42675.5,0.11838250270296385
Bronx,2009 / 09,36861.7,2578.8,2512.1,5090.9,41952.6,0.11846754576716641
Bronx,2009 / 10,36534.8,2584.7,2615.4,5200.1,41734.9,0.12167533630398754
Bronx,2009 / 11,36222.6,2202.1,2288.9,4491.0,40713.6,0.10660147819497721
Bronx,2009 / 12,38447.0,2689.3,3072.8,5762.099999999999,44209.1,0.1277680819554496
Bronx,2010 / 01,34529.5,2636.5,2557.0,5193.5,39723.0,0.12832796205140348
Bronx,2010 / 02,29643.2,2000.3,1970.0,3970.3,33613.5,0.11778753835585319
Bronx,2010 / 03,40868.5,2712.7999999999997,2895.3,5608.1,46476.6,0.1181979712950602
Bronx,2010 / 04,36101.3,2519.6,2525.8,5045.4,41146.700000000004,0.12027649140822781
Bronx,2010 / 05,34987.6,2396.8,2423.5,4820.3,39807.9,0.11831272753194426
Bronx,2010 / 06,39558.6,2631.7000000000003,2634.7,5266.400000000001,44825.0,0.11459827064865556
Bronx,2010 / 07,37289.1,2648.9,2602.0,5250.900000000001,42540.0,0.12086919363123555
Bronx,2010 / 08,36736.3,2458.8,2479.1,4937.9,41674.200000000004,0.11594590732487065
Bronx,2010 / 09,36182.0,2469.5,2633.9,5103.4,41285.4,0.12137862648361547
Bronx,2010 / 10,36561.3,2349.0,2489.9,4838.9,41400.2,0.11434464198324867
Bronx,2010 / 11,38960.6,2272.8,2455.5,4728.3,43688.9,0.10581835633669899
Bronx,2010 / 12,28605.4,2020.8,2280.0,4300.799999999999,32906.200000000004,0.12883194664021533
Bronx,2011 / 01,40381.6,2478.7,2506.6,4985.3,45366.9,0.1096579459855987
Bronx,2011 / 02,34398.2,2420.7,2489.7,4910.4,39308.6,0.12369716836742285
Bronx,2011 / 03,38885.7,2517.5,2783.6,5301.099999999999,44186.8,0.11907862067269757
Bronx,2011 / 04,36841.4,2393.5,2498.2,4891.7,41733.1,0.11477936126054422
Bronx,2011 / 05,38428.4,2337.5,2445.5,4783.0,43211.4,0.1088251124289296
Bronx,2011 / 06,39833.8,2540.1,2658.5,5198.6,45032.4,0.11284762222805557
Bronx,2011 / 07,36053.4,2425.3,2354.9,4780.2,40833.6,0.11449739583324431
Bronx,2011 / 08,40198.1,2511.7999999999997,2700.2,5212.0,45410.1,0.11273784155927769
Bronx,2011 / 09,37735.2,2386.2,2574.2,4960.400000000001,42695.6,0.11371538391465091
Bronx,2011 / 10,37032.299999999996,2271.2,2366.2999999999997,4637.5,41669.8,0.10884255420658771
Bronx,2011 / 11,38252.5,2271.5,2421.9,4693.4,42945.9,0.10734654429393471
Bronx,2011 / 12,38215.3,2518.5,2973.6,5492.1,43707.4,0.1238743515548653
Bronx,2012 / 01,36104.0,2536.0,2451.8,4987.8,41091.8,0.12021519011471848
Bronx,2012 / 02,34208.5,2204.0,2203.5,4407.5,38616.0,0.11433714133610616
Bronx,2012 / 03,36010.4,2349.6,2424.1,4773.7,40784.1,0.11573826467001526
Bronx,2012 / 04,34058.0,2250.0,2167.8,4417.8,38475.8,0.11314162516264593
Bronx,2012 / 05,37785.1,2428.2000000000003,2504.8,4933.0,42718.1,0.1140908653327664
Bronx,2012 / 06,36187.4,2455.3,2593.8,5049.1,41236.5,0.1195014655897328
Bronx,2012 / 07,36028.2,2393.4,2316.4,4709.8,40738.0,0.11375350861730599
Bronx,2012 / 08,36285.5,2384.4,2429.6,4814.0,41099.5,0.11559097536614615
Bronx,2012 / 09,33541.7,2187.5,2345.9,4533.4,38075.1,0.11656076099113725
Bronx,2012 / 10,35846.3,2111.7,2174.2,4285.9,40132.2,0.10549771169609078
Bronx,2012 / 11,39797.7,2441.0,2451.2999999999997,4892.3,44690.0,0.10707286414277395
Bronx,2012 / 12,37045.7,2258.7,2651.0,4909.7,41955.4,0.11465642268712752
Bronx,2013 / 01,35766.7,2698.6,2587.2,5285.8,41052.5,0.12900652653112776
Bronx,2013 / 02,31059.2,2136.9,2044.5,4181.4,35240.6,0.11861696302329955
Bronx,2013 / 03,34415.0,2307.9,2343.7,4651.6,39066.600000000006,0.1190463949561154
Bronx,2013 / 04,36344.1,2393.7,2296.3,4690.0,41034.1,0.11340439540387454
Bronx,2013 / 05,37617.5,2476.8,2450.8,4927.6,42545.1,0.11469891606133599
Bronx,2013 / 06,35437.3,2570.6,2637.9,5208.5,40645.8,0.1252096362567001
Bronx,2013 / 07,37375.7,2723.8,2562.1,5285.9,42661.6,0.12229356623421866
Bronx,2013 / 08,35090.5,2583.7999999999997,2492.7,5076.5,40167.0,0.12416489609537233
Bronx,2013 / 09,33274.0,2399.6,2375.7,4775.3,38049.3,0.12353388144117321
Bronx,2013 / 10,34237.5,2526.8,2369.1,4895.9,39133.4,0.12430151978660692
Bronx,2013 / 11,33820.9,2332.3,2310.7,4643.0,38463.9,0.11847246101327748
Bronx,2013 / 12,35013.7,2722.4,2883.5,5605.9,40619.6,0.13553930045484278
Bronx,2014 / 01,32280.0,2814.7999999999997,2566.7,5381.5,37661.5,0.14147947702895533
Bronx,2014 / 02,29092.4,2187.4,2007.5,4194.9,33287.3,0.12510290582750253
Bronx,2014 / 03,33540.8,2559.6,2391.1,4950.7,38491.5,0.12705534518759576
Bronx,2014 / 04,34731.3,2767.3,2578.9,5346.2,40077.5,0.13184372497083238
Bronx,2014 / 05,36533.3,2779.7,2570.7,5350.4,41883.7,0.12529957960397312
Bronx,2014 / 06,34623.1,2802.6,2582.4,5385.0,40008.1,0.1317867272972386
Bronx,2014 / 07,37133.3,2985.2,2699.9,5685.1,42818.4,0.13127142238509873
Bronx,2014 / 08,33824.200000000004,2747.9,2453.5,5201.4,39025.6,0.1310861485613337
Bronx,2014 / 09,34126.0,2745.7,2500.0,5245.7,39371.7,0.1314973784327483
Bronx,2014 / 10,33949.3,2771.5,2505.2,5276.7,39226.0,0.13272690275283394
Bronx,2014 / 11,32184.8,2453.8,2328.4,4782.2,36967.0,0.12641719537939966
Bronx,2014 / 12,36470.8,3140.2,3206.8,6347.0,42817.8,0.14618432506136356
Bronx,2015 / 01,30990.9,2721.3,2332.9,5054.2,36045.1,0.13804143516616382
Bronx,2015 / 02,26738.5,2656.9,2165.8,4822.7,31561.2,0.15267041522586006
Bronx,2015 / 03,33076.3,2863.7,2585.2,5448.9,38525.2,0.14042403165759457
Bronx,2015 / 04,33046.1,2915.8,2465.7999999999997,5381.6,38427.7,0.13866835664751087
Bronx,2015 / 05,33941.8,2857.6,2353.5,5211.1,39152.9,0.1308466047362628
Bronx,2015 / 06,36328.2,3157.8,2832.8,5990.6,42318.799999999996,0.13957214688599373
Bronx,2015 / 07,35542.7,3143.0,2679.0,5822.0,41364.7,0.13955309765958276
Bronx,2015 / 08,33584.7,3004.8,2441.6,5446.4,39031.1,0.1372809080259633
Bronx,2015 / 09,33846.3,3150.5,2643.9,5794.4,39640.7,0.14530706103994814
Bronx,2015 / 10,33373.8,3059.9,2612.2,5672.1,39045.9,0.14322195684958194
Bronx,2015 / 11,33498.4,2805.3,2393.8,5199.1,38697.5,0.13238898552050127
Bronx,2015 / 12,35600.2,3638.8,3459.3,7098.1,42698.3,0.1657533473326813
Bronx,2016 / 01,30764.3,2677.4,2143.2,4820.6,35584.9,0.13410995196746486
Bronx,2016 / 02,30874.1,3503.6,2827.6,6331.2,37205.3,0.16943548931557484
Bronx,2016 / 03,33927.7,3420.1,2710.7999999999997,6130.9,40058.6,0.15337670250049726
